Cmdline: /system/bin/simpleperf record -p 30765 --duration 8 -o /data/local/tmp/perf.data
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 14060
Event count: 5616537326

Children  Self   Shared Object                                                                                                                                   Symbol
0.02%     0.02%  [JIT app cache]                                                                                                                                 androidx.constraintlayout.widget.ConstraintLayout$Measurer.measure
0.02%     0.02%  /system/lib64/libbinder.so                                                                                                                      android::Parcel::write(android::Parcel::FlattenableHelperInterface const&)
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+b11414]
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art::JNI<true>::GetStringChars(_JNIEnv*, _jstring*, unsigned char*)
0.02%     0.02%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  scudo_free
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8318c]
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        sktext::gpu::GlyphVector::regenerateAtlasForGanesh(int, int, skgpu::MaskFormat, int, GrMeshDrawTarget*)
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d4a4]
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        SkFont::getWidthsBounds(unsigned short const*, int, float*, SkRect*, SkPaint const*) const
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cbb0]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cbf0]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83340]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+ed8840]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+cc78ac]
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art::gc::collector::MarkCompact::RunPhases()
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d4ac]
0.02%     0.02%  /vendor/lib64/egl/libGLES_mali.so                                                                                                               basep_gpu_queue_kick
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c2c8]
0.02%     0.02%  [JIT app cache]                                                                                                                                 java.lang.String.substring
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83400]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d528]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8bf04]
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art_quick_invoke_static_stub
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               __check_object_size
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.os.Handler.handleCallback
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.text.TextLine.set
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c4cc]
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               sync_file_ioctl
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cb88]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c308]
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art::IndirectReferenceTable::IsValidReference(void*, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>*) const
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        std::__1::__function::__func<android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)::$_0, std::__1::allocator<android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)::$_0>, void (android::uirenderer::RenderNode*, android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)>::operator()(android::uirenderer::RenderNode*&&, android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool&&) (.__uniq.10397782060659495822194741288103189803.203475ed07c5ffb5392ca8a2a4b019a1)
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c4a8]
0.02%     0.02%  /apex/com.android.i18n/lib64/libicui18n.so                                                                                                      icu_76::RegexMatcher::~RegexMatcher()
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               vsnprintf
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art::ArtMethod* art::FindMethodToCall<(art::InvokeType)4>(art::Thread*, art::ArtMethod*, art::ObjPtr<art::mirror::Object>*, art::Instruction const&, bool, bool*)
0.02%     0.02%  /system/lib64/libui.so                                                                                                                          std::__1::__wrap_iter<android::Rect*> std::__1::vector<android::Rect, android::InlineStdAllocator<android::Rect, 4ul>>::__insert_with_size[abi:nn200000]<std::__1::__wrap_iter<android::Rect const*>, std::__1::__wrap_iter<android::Rect const*>>(std::__1::__wrap_iter<android::Rect const*>, std::__1::__wrap_iter<android::Rect const*>, std::__1::__wrap_iter<android::Rect const*>, long)
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cd50]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c4e0]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cb1c]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cb14]
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               arch_counter_get_cntpct
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               selinux_socket_recvmsg
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        GrVkOpsRenderPass::init(GrOpsRenderPass::LoadAndStoreInfo const&, GrOpsRenderPass::LoadAndStoreInfo const&, GrOpsRenderPass::StencilLoadAndStoreInfo const&)
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               down_read_trylock
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        (anonymous namespace)::DirectMaskSubRun::makeAtlasTextOp(GrClip const*, SkMatrix const&, SkPoint, SkPaint const&, sk_sp<SkRefCnt>&&, skgpu::ganesh::SurfaceDrawContext*) const (.__uniq.174293967548894696757720325934719502794)
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c208]
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.graphics.RenderNode.hasDisplayList
0.02%     0.02%  /system/lib64/libbinder.so                                                                                                                      android::Parcel::flattenBinder(android::sp<android::IBinder> const&)
0.02%     0.02%  [JIT app cache]                                                                                                                                 java.util.ArrayList$Itr.<init>
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               ptep_clear_flush
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               _raw_spin_lock_irqsave
0.02%     0.02%  [JIT app cache]                                                                                                                                 java.util.ArrayList.<init>
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d2a0]
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           __aarch64_cas4_rel
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.graphics.drawable.Drawable.setBounds
0.02%     0.02%  /vendor/lib64/egl/libGLES_mali.so                                                                                                               update_completed_offset
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83278]
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art::Monitor::Wait(art::Thread*, art::ObjPtr<art::mirror::Object>, long, int, bool, art::ThreadState)
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+f23934]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d4b4]
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               filemap_get_read_batch
0.02%     0.02%  /system/lib64/libharfbuzz_ng.so                                                                                                                 apply_forward(OT::hb_ot_apply_context_t*, OT::hb_ot_layout_lookup_accelerator_t const&, unsigned int) (.__uniq.112624515275334661450839245565361455594)
0.02%     0.02%  /vendor/lib64/egl/libGLES_mali.so                                                                                                               hal::halp::begin_subpass_template_internal::build_command(hal::begin_subpass_build_info const&, hal::command_memory&, hal::halp::gpu_state_internal&, hal::halp::command_list_internal&, unsigned int, hal::surface const**) const
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8c964]
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.view.ViewTreeObserver.dispatchOnPreDraw
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83388]
0.02%     0.02%  /vendor/lib64/egl/libGLES_mali.so                                                                                                               hal::halp::subpass_context_builder::build_fbd(hal::halp::subpass_context&, hal::halp::device_internal const&, hal::begin_subpass_build_info const&, hal::command_memory&, unsigned int const*, int const*) const
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83414]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8bf70]
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               binder_alloc_new_buf
0.02%     0.02%  /system/lib64/libandroid_runtime.so                                                                                                             @plt
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+ed8844]
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               memblock_is_map_memory
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.view.View.isVerticalScrollBarHidden
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art::(anonymous namespace)::CheckMethodArguments(art::JavaVMExt*, art::ArtMethod*, unsigned int*) (.__uniq.245181933781456475607640333933569312899.llvm.16831291555498695779)
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        GrVkBackendFormatData::compressionType() const
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               vfs_read
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        SkNoPixelsDevice::devClipBounds() const
0.02%     0.02%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  android_fdsan_close_with_tag
0.02%     0.02%  /vendor/lib64/egl/libGLES_mali.so                                                                                                               hal::halp::queue_internal::submit(hal::command_list**, unsigned int, bool, hal::external_event_wait_list const*, base_import_handle const**, unsigned int*, cmar_event**, hal::pipeline_stage_mask)
0.02%     0.02%  /system/lib64/libbinder.so                                                                                                                      android::Parcel::writeInterfaceToken(char16_t const*, unsigned long)
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               vfs_write
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d530]
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.widget.Editor.drawHardwareAccelerated
0.02%     0.02%  [JIT app cache]                                                                                                                                 java.lang.Class.isInstance
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               binder_translate_binder
0.02%     0.02%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  __close
0.02%     0.02%  /system/lib64/libminikin.so                                                                                                                     minikin::Font::ExternalRefs::getAdjustedTypeface(int, int) const
0.02%     0.02%  [JIT app cache]                                                                                                                                 java.lang.Character.codePointAt
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        SkNoPixelsDevice::popClipStack()
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.text.StaticLayout$Builder.setPaint
0.02%     0.02%  /vendor/lib64/egl/libGLES_mali.so                                                                                                               base_gpu_queue_enqueue_cqs_set
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.os.PerfettoTrackEventExtra$Builder.emit
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c478]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83d08]
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               binder_transaction_priority
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               __secure_computing
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.view.ViewGroup.drawChild
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               __arm64_sys_fcntl
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               binder_free_transaction
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               binder_inc_ref_for_node
0.02%     0.02%  [JIT app cache]                                                                                                                                 android.os.PerfettoTrackEventExtra$Builder.setCounter
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c310]
0.02%     0.02%  /vendor/lib64/egl/libGLES_mali.so                                                                                                               basep_event_thread
0.02%     0.02%  /system/lib64/libgui.so                                                                                                                         android::AsyncWorker::run()
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        GrVkResourceProvider::checkCommandBuffers()
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               __mod_node_page_state
0.02%     0.02%  /system/lib64/libutils.so                                                                                                                       @plt
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               _raw_write_lock_irq
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8c1e0]
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art::ConditionVariable::TimedWait(art::Thread*, long, int)
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art::jit::Jit::PrepareForOsr(art::ArtMethod*, unsigned int, unsigned int*)
0.02%     0.02%  /system/lib64/libgui.so                                                                                                                         android::BLASTBufferQueue::transactionCallback(long, android::sp<android::Fence> const&, std::__1::vector<android::SurfaceControlStats, std::__1::allocator<android::SurfaceControlStats>> const&)
0.02%     0.02%  /system/lib64/libgui.so                                                                                                                         android::Surface::dequeueBuffer(ANativeWindowBuffer**, int*)
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8c92c]
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        SkCanvas::onDrawTextBlob(SkTextBlob const*, float, float, SkPaint const&)
0.02%     0.02%  [JIT app cache]                                                                                                                                 androidx.constraintlayout.core.widgets.analyzer.Direct.verticalSolvingPass
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               futex_wake
0.02%     0.02%  /apex/com.android.i18n/lib64/libicui18n.so                                                                                                      @plt
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+ed8834]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d654]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+ed8848]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c2dc]
0.02%     0.02%  [kernel.kallsyms]                                                                                                                               number
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c834a4]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c358]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+44ce50]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c31c]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cc0c]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+b79254]
0.02%     0.02%  /apex/com.android.art/lib64/libart.so                                                                                                           art::(anonymous namespace)::CheckJNI::FindClass(_JNIEnv*, char const*) (.__uniq.99033978352804627313491551960229047428.llvm.14895045140914427511)
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c7e8fc]
0.02%     0.02%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c1f8]
0.02%     0.02%  /system/lib64/libhwui.so                                                                                                                        skgpu::ganesh::AtlasTextOp::onPrepareDraws(GrMeshDrawTarget*)
0.02%     0.02%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  ioctl
0.02%     0.02%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  vsnprintf
0.01%     0.01%  [JIT app cache]                                                                                                                                 android.widget.TextView.getExtendedPaddingBottom
0.01%     0.01%  /apex/com.android.art/lib64/libart.so                                                                                                           art::(anonymous namespace)::ScopedCheck::CheckPrimitiveArrayType(art::ScopedObjectAccess&, _jarray*, art::Primitive::Type) (.__uniq.99033978352804627313491551960229047428)
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+ed4028]
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c3e0]
0.01%     0.01%  /system/lib64/libtracing_perfetto.so                                                                                                            tracing_perfetto::isTagEnabled(unsigned long)
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+b108b8]
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d634]
0.01%     0.01%  [kernel.kallsyms]                                                                                                                               do_futex
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+b78e40]
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d478]
0.01%     0.01%  [kernel.kallsyms]                                                                                                                               update_group_capacity
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+ed401c]
0.01%     0.01%  [kernel.kallsyms]                                                                                                                               get_timespec64
0.01%     0.01%  [JIT app cache]                                                                                                                                 android.view.View.draw
0.01%     0.01%  /system/lib64/libhwui.so                                                                                                                        android::uirenderer::skiapipeline::AnimatedRippleDrawable::draw(SkCanvas*, android::uirenderer::skiapipeline::RippleDrawableParams const&)
0.01%     0.01%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  @plt
0.01%     0.01%  /apex/com.android.art/lib64/libart.so                                                                                                           void art::gc::accounting::SpaceBitmap<8ul>::VisitMarkedRange<false, art::gc::collector::MarkCompact::ScanObjectVisitor const&>(unsigned long, unsigned long, art::gc::collector::MarkCompact::ScanObjectVisitor const&) const
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c27c]
0.01%     0.01%  /apex/com.android.art/lib64/libart.so                                                                                                           art::gc::collector::MarkCompact::CompactionPause()
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cb18]
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d420]
0.01%     0.01%  /system/lib64/libbinder.so                                                                                                                      @plt
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c832dc]
0.01%     0.01%  [kernel.kallsyms]                                                                                                                               page_remove_rmap
0.01%     0.01%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8bf80]
0.01%     0.01%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  __ioctl
