Cmdline: /system/bin/simpleperf record -p 30765 --duration 8 -o /data/local/tmp/perf.data
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 14060
Event count: 5616537326

Children  Self   Shared Object                                                                                                                                   Symbol
0.55%     0.55%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c2fc]
0.54%     0.54%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  scudo::HybridMutex::unlock()
0.50%     0.50%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8332c]
0.46%     0.46%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  __memcpy_aarch64_simd
0.44%     0.44%  /system/lib64/libhwui.so                                                                                                                        android::uirenderer::skiapipeline::SkiaRecordingCanvas::drawRenderNode(android::uirenderer::RenderNode*)
0.44%     0.44%  [JIT app cache]                                                                                                                                 org.json.JSONTokener.nextString
0.44%     0.44%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c268]
0.43%     0.43%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c224]
0.43%     0.43%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  __strcmp_aarch64
0.42%     0.42%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cb78]
0.42%     0.42%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c220]
0.42%     0.42%  [kernel.kallsyms]                                                                                                                               _raw_spin_unlock_irq
0.39%     0.39%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.39%     0.39%  [kernel.kallsyms]                                                                                                                               el0_svc_common
0.39%     0.39%  /system/lib64/libhwui.so                                                                                                                        android::uirenderer::skiapipeline::RenderNodeDrawable::onDraw(SkCanvas*)
0.38%     0.38%  /apex/com.android.art/lib64/libart.so                                                                                                           artQuickGenericJniTrampoline
0.38%     0.38%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  scudo::HybridMutex::tryLock()
0.38%     0.38%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8352c]
0.37%     0.37%  [kernel.kallsyms]                                                                                                                               handle_softirqs
0.37%     0.37%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cb30]
0.37%     0.37%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  __memset_aarch64
0.37%     0.37%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d26c]
0.37%     0.37%  /apex/com.android.art/lib64/libart.so                                                                                                           bool art::interpreter::DoCall<false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, bool, art::JValue*)
0.36%     0.36%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9c26c]
0.36%     0.36%  [JIT app cache]                                                                                                                                 org.json.JSONObject.writeTo
0.36%     0.36%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9cae0]
0.36%     0.36%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83314]
